Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
85,2023,2023-09-24,3,3,27.263,SEA,,CAR,W 37-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,93,46.50,-3,96,48.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,26%
86,2023,2023-10-02,4,4,27.271,SEA,@,NYG,W 24-3,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,214,53.50,-2,216,54.0,0,0.0%,3,75.0%,0,0,0%,0,0%,10,43%
87,2023,2023-10-15,5,6,27.284,SEA,@,CIN,L 13-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,115,38.33,1,114,38.0,0,0.0%,2,66.7%,0,0,0%,0,0%,6,26%
88,2023,2023-10-22,6,7,27.291,SEA,,ARI,W 20-10,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,143,47.67,8,115,38.3,1,33.3%,1,33.3%,0,0,0%,0,0%,7,29%
89,2023,2023-10-29,7,8,27.298,SEA,,CLE,W 24-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,274,54.80,30,224,44.8,1,20.0%,2,40.0%,0,0,0%,0,0%,9,35%
90,2023,2023-11-05,8,9,27.305,SEA,@,BAL,L 3-37,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,320,45.71,27,293,41.9,0,0.0%,3,42.9%,0,0,0%,0,0%,8,30%
91,2023,2023-11-12,9,10,27.312,SEA,,WAS,W 29-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,181,45.25,9,152,38.0,1,25.0%,1,25.0%,0,0,0%,0,0%,12,35%
92,2023,2023-11-19,10,11,27.319,SEA,@,LAR,L 16-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,202,50.50,34,168,42.0,0,0.0%,2,50.0%,0,0,0%,0,0%,9,35%
93,2023,2023-11-23,11,12,27.323,SEA,,SFO,L 13-31,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,231,46.20,10,221,44.2,0,0.0%,1,20.0%,0,0,0%,0,0%,9,31%
94,2023,2023-11-30,12,13,27.330,SEA,@,DAL,L 35-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,21%
95,2023,2023-12-10,13,14,27.340,SEA,@,SFO,L 16-28,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,311,51.83,27,264,44.0,1,16.7%,3,50.0%,0,0,0%,0,0%,8,30%
96,2023,2023-12-18,14,15,27.348,SEA,,PHI,W 20-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,280,56.00,30,250,50.0,0,0.0%,1,20.0%,0,0,0%,0,0%,10,37%
97,2023,2023-12-24,15,16,27.354,SEA,@,TEN,W 20-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,134,44.67,11,123,41.0,0,0.0%,2,66.7%,0,0,0%,0,0%,7,32%
98,2023,2023-12-31,16,17,27.361,SEA,,PIT,L 23-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,159,53.00,6,113,37.7,2,66.7%,0,0.0%,0,0,0%,0,0%,8,29%
99,2023,2024-01-07,17,18,28.003,SEA,@,ARI,W 21-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,258,51.60,22,236,47.2,0,0.0%,2,40.0%,0,0,0%,0,0%,8,31%
100,2024,2024-09-08,1,1,28.248,SEA,,DEN,W 26-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,241,48.20,47,194,38.8,0,0.0%,0,0.0%,0,0,0%,0,0%,9,26%
101,2024,2024-09-15,2,2,28.255,SEA,@,NWE,W 23-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,269,53.80,24,225,45.0,1,20.0%,1,20.0%,0,0,0%,0,0%,10,32%
102,2024,2024-09-22,3,3,28.262,SEA,,MIA,W 24-3,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,195,48.75,44,131,32.8,1,25.0%,0,0.0%,0,0,0%,0,0%,10,37%
103,2024,2024-09-30,4,4,28.270,SEA,@,DET,L 29-42,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,133,44.33,6,107,35.7,1,33.3%,2,66.7%,0,0,0%,0,0%,7,24%
104,2024,2024-10-06,5,5,28.276,SEA,,NYG,L 20-29,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,193,48.25,6,167,41.8,1,25.0%,2,50.0%,0,0,0%,0,0%,9,30%
105,2024,2024-10-10,6,6,28.280,SEA,,SFO,L 24-36,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,216,54.00,11,205,51.3,0,0.0%,2,50.0%,0,0,0%,0,0%,8,27%
106,2024,2024-10-20,7,7,28.290,SEA,@,ATL,W 34-14,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,156,39.00,0,156,39.0,0,0.0%,3,75.0%,0,0,0%,0,0%,10,39%
107,2024,2024-10-27,8,8,28.297,SEA,,BUF,L 10-31,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,245,61.25,35,210,52.5,0,0.0%,2,50.0%,0,0,0%,0,0%,6,26%
108,2024,2024-11-03,9,9,28.304,SEA,,LAR,L 20-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,330,47.14,17,313,44.7,0,0.0%,2,28.6%,0,0,0%,0,0%,10,31%
109,2024,2024-11-17,10,11,28.318,SEA,@,SFO,W 20-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,97,48.50,12,65,32.5,1,50.0%,0,0.0%,0,0,0%,0,0%,6,29%
110,2024,2024-11-24,11,12,28.325,SEA,,ARI,W 16-6,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,218,43.60,0,218,43.6,0,0.0%,3,60.0%,0,0,0%,0,0%,8,33%
