Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
124,2022,2022-11-24,11,12,,NYG,@,DAL,L 20-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
125,2022,2022-12-04,12,13,30.297,NYG,,WAS,T 20-20,*,,,,,,,,,,,66,100%,0,0%,0,0%,
126,2022,2022-12-11,13,14,30.304,NYG,,PHI,L 22-48,*,,,,,,,,,,,64,100%,0,0%,0,0%,
127,2022,2022-12-18,14,15,30.311,NYG,@,WAS,W 20-12,*,,,,,,,,,,,63,100%,0,0%,0,0%,
128,2022,2022-12-24,15,16,30.317,NYG,@,MIN,L 24-27,*,,,,,,,,,,,69,100%,0,0%,0,0%,
129,2022,2023-01-01,16,17,30.325,NYG,,IND,W 38-10,*,,,,,,,,,,,53,84%,0,0%,0,0%,
130,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
131,2023,2023-09-10,1,1,31.212,SFO,@,PIT,W 30-7,,,,,,,,,,,,0,0%,0,0%,7,27%,
132,2023,2023-09-17,2,2,31.219,SFO,@,LAR,W 30-23,,,,,,,,,,,,0,0%,0,0%,6,21%,
133,2023,2023-09-21,3,3,31.223,SFO,,NYG,W 30-12,,,,,,,,,,,,4,5%,0,0%,6,21%,
134,2023,2023-10-01,4,4,31.233,SFO,,ARI,W 35-16,,,,,,,,,,,,0,0%,0,0%,3,14%,
135,2023,2023-10-08,5,5,31.240,SFO,,DAL,W 42-10,,,,,,,,,,,,32,45%,0,0%,6,22%,
136,2023,2023-10-15,6,6,31.247,SFO,@,CLE,L 17-19,,,,,,,,,,,,0,0%,0,0%,5,16%,
137,2023,2023-10-23,7,7,31.255,SFO,@,MIN,L 17-22,,,,,,,,,,,,0,0%,0,0%,4,18%,
138,2023,2023-10-29,8,8,31.261,SFO,,CIN,L 17-31,,,,,,,,,,,,0,0%,0,0%,3,12%,
139,2023,2023-11-12,9,10,31.275,SFO,@,JAX,W 34-3,*,,,,,,,,,,,62,100%,0,0%,6,26%,
140,2023,2023-11-19,10,11,31.282,SFO,,TAM,W 27-14,*,,,,,,,,,,,60,100%,0,0%,5,23%,
141,2023,2023-11-23,11,12,31.286,SFO,@,SEA,W 31-13,*,,,,,,,,,,,66,100%,0,0%,5,17%,
142,2023,2023-12-03,12,13,31.296,SFO,@,PHI,W 42-19,,,,,,,,,,,,4,7%,0,0%,6,23%,
143,2023,2023-12-10,13,14,31.303,SFO,,SEA,W 28-16,*,,,,,,,,,,,54,100%,0,0%,4,15%,
144,2023,2023-12-17,14,15,31.310,SFO,@,ARI,W 45-29,*,,,,,,,,,,,56,100%,0,0%,7,23%,
145,2023,2023-12-25,15,16,31.318,SFO,,BAL,L 19-33,*,0,0,,0,0,0,0,0,0,0,70,100%,0,0%,3,11%,
146,2023,2023-12-31,16,17,31.324,SFO,@,WAS,W 27-10,*,,,,,,,,,,,70,100%,0,0%,5,24%,
147,2023,2024-01-07,17,18,,SFO,,LAR,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
148,2024,2024-09-09,1,1,,SFO,,NYJ,W 32-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
149,2024,2024-09-15,2,2,,SFO,@,MIN,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
150,2024,2024-09-22,3,3,,SFO,@,LAR,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
