Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
79,2020,2020-11-01,8,8,28.355,CHI,,NOR,L 23-26,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0%,0,0%,12,34%,
80,2020,2020-11-08,9,9,28.362,CHI,@,TEN,L 17-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,21%,
81,2020,2020-11-16,10,10,29.004,CHI,,MIN,L 13-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,28%,
82,2020,2020-11-29,11,12,29.017,CHI,@,GNB,L 25-41,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,
83,2020,2020-12-06,12,13,29.024,CHI,,DET,L 30-34,,0,0,,0,0,0,,0,0,,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,
84,2020,2020-12-13,13,14,29.031,CHI,,HOU,W 36-7,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,13,48%,
85,2020,2020-12-20,14,15,29.038,CHI,@,MIN,W 33-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0%,0,0%,15,52%,
86,2020,2020-12-27,15,16,29.045,CHI,@,JAX,W 41-17,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,14,45%,
87,2020,2021-01-03,16,17,29.052,CHI,,GNB,L 16-35,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,39%,
88,2021,2021-09-12,1,1,29.304,CHI,@,LAR,L 14-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,5,25%,
89,2021,2021-09-19,2,2,29.311,CHI,,CIN,W 20-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,41%,
90,2021,2021-09-26,3,3,29.318,CHI,@,CLE,L 6-26,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,5,19%,
91,2021,2021-10-03,4,4,29.325,CHI,,DET,W 24-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,43%,
92,2021,2021-10-10,5,5,29.332,CHI,@,LVR,W 20-9,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,41%,
93,2021,2021-10-17,6,6,29.339,CHI,,GNB,L 14-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,5,24%,
94,2021,2021-10-24,7,7,29.346,CHI,@,TAM,L 3-38,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,12%,
95,2021,2021-10-31,8,8,29.353,CHI,,SFO,L 22-33,,0,0,,0,0,0,,0,0,,,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,11,41%,
96,2021,2021-11-08,9,9,29.361,CHI,@,PIT,L 27-29,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0%,0,0%,12,34%,
97,2021,2021-11-21,10,11,30.009,CHI,,BAL,L 13-16,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,
98,2021,2021-11-25,11,12,30.013,CHI,@,DET,W 16-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,8,33%,
99,2021,2021-12-05,12,13,30.023,CHI,,ARI,L 22-33,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,6,25%,
100,2021,2021-12-12,13,14,30.030,CHI,@,GNB,L 30-45,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0%,0,0%,12,33%,
101,2021,2021-12-20,14,15,30.038,CHI,,MIN,L 9-17,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,19%,
102,2021,2021-12-26,15,16,30.044,CHI,@,SEA,W 25-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,
103,2021,2022-01-02,16,17,30.051,CHI,,NYG,W 29-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,10,43%,
104,2021,2022-01-09,17,18,30.058,CHI,@,MIN,L 17-31,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,
105,2022,2022-09-11,1,1,30.303,CHI,,SFO,W 19-10,,0,0,,0,0,0,,0,0,,,1,3,33.3,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,8,33%,
106,2022,2022-09-18,2,2,30.310,CHI,@,GNB,L 10-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,23%,
107,2022,2022-09-25,3,3,30.317,CHI,,HOU,W 23-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,10,34%,
108,2022,2022-10-02,4,4,,CHI,@,NYG,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
109,2022,2022-10-09,5,5,30.331,CHI,@,MIN,L 22-29,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,43%,
110,2022,2022-10-13,6,6,30.335,CHI,,WAS,L 7-12,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,3,15%,
111,2022,2022-10-24,7,7,30.346,CHI,@,NWE,W 33-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0%,0,0%,14,56%,
112,2022,2022-10-30,8,8,30.352,CHI,@,DAL,L 29-49,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,28%,
113,2022,2022-11-06,9,9,30.359,CHI,,MIA,L 32-35,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,10,38%,
114,2022,2022-11-13,10,10,31.001,CHI,,DET,L 30-31,,0,0,,0,0,0,,0,0,,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,38%,
