Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
63,2019,2019-12-22,15,16,26.315,NYG,@,WAS,W 41-35,*,6,6,76,12.67,1,100.0%,12.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
64,2019,2019-12-29,16,17,26.322,NYG,,PHI,L 17-34,*,10,5,39,7.80,0,50.0%,3.90,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,89%,0,0%,0,0%,
65,2020,2020-09-14,1,1,27.217,NYG,,PIT,L 16-26,*,6,6,47,7.83,0,100.0%,7.83,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,
66,2020,2020-09-20,2,2,27.223,NYG,@,CHI,L 13-17,*,4,2,29,14.50,0,50.0%,7.25,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,0,0%,
67,2020,2020-09-27,3,3,,NYG,,SFO,L 9-36,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
68,2020,2020-10-04,4,4,,NYG,@,LAR,L 9-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
69,2020,2020-10-11,5,5,,NYG,@,DAL,L 34-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
70,2020,2020-10-18,6,6,,NYG,,WAS,W 20-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
71,2020,2020-10-22,7,7,27.255,NYG,@,PHI,L 21-22,*,8,6,59,9.83,1,75.0%,7.38,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,77%,0,0%,0,0%,
72,2020,2020-11-02,8,8,27.266,NYG,,TAM,L 23-25,*,10,8,74,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,70%,0,0%,0,0%,
