Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
71,2022,2022-10-23,7,7,25.256,GNB,@,WAS,L 21-23,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,7,24%,
72,2022,2022-10-30,8,8,25.263,GNB,@,BUF,L 17-27,*,0,0,,0,,0,0,0.0,0,1,1,0,0,1,3,0,4,0,0,0,0,0,0,0,0%,58,98%,5,23%,
73,2022,2022-11-06,9,9,25.270,GNB,@,DET,L 9-15,*,0,0,,0,,0,0,0.0,2,0,2,0,0,1,29,0,1,0,0,0,0,0,0,0,0%,61,98%,3,23%,
74,2022,2022-11-13,10,10,25.277,GNB,,DAL,W 31-28,*,0,0,,0,,0,0,0.0,7,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,83,100%,4,13%,
75,2022,2022-11-17,11,11,25.281,GNB,,TEN,L 17-27,*,0,0,,0,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,4,18%,
76,2022,2022-11-27,12,12,25.291,GNB,@,PHI,L 33-40,*,0,0,,0,,0,0,0.0,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,79,99%,7,23%,
77,2022,2022-12-04,13,13,25.298,GNB,@,CHI,W 28-19,*,0,0,,0,,0,0,0.0,6,1,7,2,0,1,4,0,1,0,0,0,0,0,0,0,0%,52,100%,5,21%,
78,2022,2022-12-19,14,15,25.313,GNB,,LAR,W 24-12,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,100%,3,14%,
79,2022,2022-12-25,15,16,25.319,GNB,@,MIA,W 26-20,*,0,0,,0,,0,0,0.0,4,0,4,0,0,1,23,0,1,0,0,0,0,0,0,0,0%,50,100%,5,19%,
80,2022,2023-01-01,16,17,25.326,GNB,,MIN,W 41-17,*,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,79%,0,0%,
81,2022,2023-01-08,17,18,25.333,GNB,,DET,L 16-20,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,5,20%,
82,2023,2023-09-10,1,1,26.213,GNB,@,CHI,W 38-20,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,76%,3,11%,
83,2023,2023-09-17,2,2,26.220,GNB,@,ATL,L 24-25,*,0,0,,0,,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,82,100%,6,22%,
84,2023,2023-09-24,3,3,,GNB,,NOR,W 18-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
85,2023,2023-09-28,4,4,,GNB,,DET,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2023,2023-10-09,5,5,26.242,GNB,@,LVR,L 13-17,*,0,0,,0,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,0,0%,
87,2023,2023-10-22,6,7,,GNB,@,DEN,L 17-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,2023,2023-10-29,7,8,26.262,GNB,,MIN,L 10-24,*,0,0,,0,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,0,0%,
89,2023,2023-11-05,8,9,26.269,GNB,,LAR,W 20-3,*,0,0,,0,,0,0,0.0,6,1,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0%,58,100%,1,4%,
90,2023,2023-11-12,9,10,,GNB,@,PIT,L 19-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
91,2023,2023-11-19,10,11,,GNB,,LAC,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
92,2023,2023-11-23,11,12,,GNB,@,DET,W 29-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
93,2023,2023-12-03,12,13,,GNB,,KAN,W 27-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
94,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
95,2023,2023-12-17,14,15,,GNB,,TAM,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
96,2023,2023-12-24,15,16,26.318,GNB,@,CAR,W 33-30,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,66,100%,2,7%,
97,2023,2023-12-31,16,17,,GNB,@,MIN,W 33-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
98,2023,2024-01-07,17,18,26.332,GNB,,CHI,W 17-9,*,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,48,100%,1,6%,
99,2024,2024-09-06,1,1,27.210,GNB,@,PHI,L 29-34,*,0,0,,0,,0,0,0.0,4,0,4,0,0,1,17,0,2,0,0,0,0,0,0,0,0%,76,100%,6,19%,
