Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
76,2021,2021-12-05,12,13,26.246,DET,,MIN,W 29-27,*,17,71,4.18,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,34,47%,0,0%,0,0%,
77,2021,2021-12-12,13,14,,DET,@,DEN,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2021,2021-12-19,14,15,,DET,,ARI,W 30-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,2021,2021-12-26,15,16,26.267,DET,@,ATL,L 16-20,*,19,77,4.05,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,
80,2021,2022-01-02,16,17,26.274,DET,@,SEA,L 29-51,*,11,22,2.00,1,3,3,22,7.33,0,100.0%,7.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,32%,0,0%,0,0%,
81,2021,2022-01-09,17,18,26.281,DET,,GNB,W 37-30,,13,43,3.31,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,41%,0,0%,0,0%,
82,2022,2022-09-11,1,1,27.161,DET,,PHI,L 35-38,,11,28,2.55,2,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,23,33%,0,0%,0,0%,
83,2022,2022-09-18,2,2,27.168,DET,,WAS,W 36-27,,12,53,4.42,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,34%,0,0%,0,0%,
84,2022,2022-09-25,3,3,27.175,DET,@,MIN,L 24-28,,20,87,4.35,2,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,35,45%,0,0%,0,0%,
85,2022,2022-10-02,4,4,27.182,DET,,SEA,L 45-48,*,19,108,5.68,2,3,1,1,1.00,0,33.3%,0.33,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,
86,2022,2022-10-09,5,5,27.189,DET,@,NWE,L 0-29,*,15,56,3.73,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,33%,0,0%,0,0%,
87,2022,2022-10-23,6,7,27.203,DET,@,DAL,L 6-24,*,15,79,5.27,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,26,44%,0,0%,0,0%,
88,2022,2022-10-30,7,8,27.210,DET,,MIA,L 27-31,*,10,53,5.30,2,3,3,23,7.67,0,100.0%,7.67,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,22,37%,0,0%,0,0%,
89,2022,2022-11-06,8,9,27.217,DET,,GNB,W 15-9,*,24,81,3.38,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,
90,2022,2022-11-13,9,10,27.224,DET,@,CHI,W 31-30,,16,59,3.69,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,0,0%,
91,2022,2022-11-20,10,11,27.231,DET,@,NYG,W 31-18,*,17,64,3.76,3,0,0,0,,0,0.0%,,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,
92,2022,2022-11-24,11,12,27.235,DET,,BUF,L 25-28,,18,66,3.67,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,30,42%,0,0%,0,0%,
93,2022,2022-12-04,12,13,27.245,DET,,JAX,W 40-14,,11,35,3.18,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,30%,0,0%,0,0%,
94,2022,2022-12-11,13,14,27.252,DET,,MIN,W 34-23,*,16,37,2.31,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,37%,0,0%,0,0%,
95,2022,2022-12-18,14,15,27.259,DET,@,NYJ,W 20-17,,13,33,2.54,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,31%,0,0%,0,0%,
96,2022,2022-12-24,15,16,27.265,DET,@,CAR,L 23-37,,7,11,1.57,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,
97,2022,2023-01-01,16,17,27.273,DET,,CHI,W 41-10,*,22,144,6.55,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,46%,0,0%,0,0%,
98,2022,2023-01-08,17,18,27.280,DET,@,GNB,W 20-16,*,16,72,4.50,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,0,0%,
