Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2022,2022-09-19,2,2,27.275,PHI,,MIN,W 24-7,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,31,42%,0,0%,11,52%,
68,2022,2022-09-25,3,3,27.281,PHI,@,WAS,W 24-8,,3,3,18,6.00,0,100.0%,6.00,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,43%,0,0%,18,69%,
69,2022,2022-10-02,4,4,27.288,PHI,,JAX,W 29-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,24%,0,0%,15,63%,
70,2022,2022-10-09,5,5,27.295,PHI,@,ARI,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,13,18%,0,0%,13,52%,
71,2022,2022-10-16,6,6,27.302,PHI,,DAL,W 26-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,13%,0,0%,10,42%,
72,2022,2022-10-30,7,8,27.316,PHI,,PIT,W 35-13,,2,2,57,28.50,1,100.0%,28.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,23,40%,0,0%,17,63%,
73,2022,2022-11-03,8,9,27.320,PHI,@,HOU,W 29-17,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,31%,0,0%,10,43%,
74,2022,2022-11-14,9,10,27.331,PHI,,WAS,L 21-32,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,42%,0,0%,17,65%,
75,2022,2022-11-20,10,11,27.337,PHI,@,IND,W 17-16,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,43%,0,0%,16,64%,
76,2022,2022-11-27,11,12,27.344,PHI,,GNB,W 40-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,11%,0,0%,7,23%,
77,2022,2022-12-04,12,13,27.351,PHI,,TEN,W 35-10,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,38%,0,0%,10,34%,
78,2022,2022-12-11,13,14,27.358,PHI,@,NYG,W 48-22,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,19,28%,0,0%,20,65%,
79,2022,2022-12-18,14,15,28.000,PHI,@,CHI,W 25-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,25%,0,0%,16,64%,
80,2022,2022-12-24,15,16,28.006,PHI,@,DAL,L 34-40,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,16,52%,
81,2022,2023-01-01,16,17,28.014,PHI,,NOR,L 10-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,36%,0,0%,18,69%,
82,2022,2023-01-08,17,18,28.021,PHI,,NYG,W 22-16,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,19,26%,0,0%,19,68%,
83,2023,2023-09-10,1,1,28.266,ARI,@,WAS,L 16-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,8%,0,0%,20,72%,
84,2023,2023-09-17,2,2,28.273,ARI,,NYG,L 28-31,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,23,35%,0,0%,17,61%,
85,2023,2023-09-24,3,3,28.280,ARI,,DAL,W 28-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,23%,0,0%,15,60%,
86,2023,2023-10-01,4,4,28.287,ARI,@,SFO,L 16-35,,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,21,30%,0,0%,15,68%,
87,2023,2023-10-08,5,5,28.294,ARI,,CIN,L 20-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,18%,0,0%,18,67%,
88,2023,2023-10-15,6,6,28.301,ARI,@,LAR,L 9-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,14%,0,0%,17,63%,
