Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
70,2023,2023-10-08,5,5,26.035,HOU,@,ATL,L 19-21,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,29%,0,0%,4,14%,
71,2023,2023-10-15,6,6,26.042,HOU,,NOR,W 20-13,,12,58,4.83,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,54%,0,0%,4,15%,
72,2023,2023-10-29,7,8,26.056,HOU,@,CAR,L 13-15,,10,30,3.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,2,8%,
73,2023,2023-11-05,8,9,26.063,HOU,,TAM,W 39-37,*,13,26,2.00,0,2,2,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,75%,0,0%,0,0%,
74,2023,2023-11-12,9,10,26.070,HOU,@,CIN,W 30-27,*,30,150,5.00,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,81%,0,0%,0,0%,
75,2023,2023-11-19,10,11,26.077,HOU,,ARI,W 21-16,*,22,112,5.09,1,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,85%,0,0%,0,0%,
76,2023,2023-11-26,11,12,26.084,HOU,,JAX,L 21-24,*,6,18,3.00,0,7,6,54,9.00,0,85.7%,7.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,82%,0,0%,0,0%,
77,2023,2023-12-03,12,13,26.091,HOU,,DEN,W 22-17,*,8,36,4.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,
78,2023,2023-12-10,13,14,26.098,HOU,@,NYJ,L 6-30,*,13,65,5.00,1,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,57%,0,0%,5,17%,
79,2023,2023-12-17,14,15,26.105,HOU,@,TEN,W 19-16,*,26,121,4.65,0,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,75%,0,0%,0,0%,
