Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
70,2021,2021-10-17,6,6,,GNB,@,CHI,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2021,2021-10-24,7,7,,GNB,,WAS,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,2021,2021-10-28,8,8,,GNB,@,ARI,W 24-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2021,2021-11-07,9,9,26.186,GNB,@,KAN,L 7-13,*,0,0,,0,0.0,4,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,1,5%,
74,2021,2021-11-14,10,10,26.193,GNB,,SEA,W 17-0,*,0,0,,0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,20,33%,1,6%,
75,2021,2021-11-21,11,11,26.200,GNB,@,MIN,L 31-34,*,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,37%,1,4%,
76,2021,2021-11-28,12,12,,GNB,,LAR,W 36-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,2021,2021-12-12,13,14,26.221,GNB,,CHI,W 45-30,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,8,22%,
78,2021,2021-12-19,14,15,26.228,GNB,@,BAL,W 31-30,,0,0,,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,19%,6,24%,
79,2021,2021-12-25,15,16,,GNB,,CLE,W 24-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
